Week Ending,Percent Change
1/5/2020,0.225459689
1/12/2020,0.429048414
1/19/2020,0.195652174
1/26/2020,0.167155425
2/2/2020,0.227665706
2/9/2020,0.015306122
2/16/2020,0.02617801
2/23/2020,0.110248447
3/1/2020,-0.013530135
3/8/2020,0.053908356
3/15/2020,-0.087514586
3/22/2020,-0.392230576
3/29/2020,-0.607683353
4/5/2020,-0.578088578
4/12/2020,-0.646354733
4/19/2020,-0.613611416
4/26/2020,-0.588838269
5/3/2020,-0.495073892
5/10/2020,-0.538793103
5/17/2020,-0.467365967
5/24/2020,-0.354265403
5/31/2020,-0.298636927
6/7/2020,-0.425076453
6/14/2020,-0.411967779
6/21/2020,-0.291469194
6/28/2020,-0.370499419
7/5/2020,-0.445544554
7/12/2020,-0.470185728
7/19/2020,-0.400852878
7/26/2020,-0.4017769
8/2/2020,-0.344162437
8/9/2020,-0.325413223
8/16/2020,-0.344936709
8/23/2020,-0.371002132
8/30/2020,-0.380903491
9/6/2020,-0.425387597
9/13/2020,-0.422037422
9/20/2020,-0.447102116
9/27/2020,-0.514925373
10/4/2020,-0.445128205
10/11/2020,-0.431222707
10/18/2020,-0.447219069
10/25/2020,-0.411137441
11/1/2020,-0.476836158
11/8/2020,-0.451505017
11/15/2020,-0.412107101
11/22/2020,-0.384803922
11/29/2020,-0.49200492
12/6/2020,-0.429585799
12/13/2020,-0.526259378
12/20/2020,-0.60832444
12/27/2020,-0.549935149
1/3/2021,-0.414427157
1/10/2021,-0.407345576
1/17/2021,-0.508695652
1/24/2021,-0.409090909
1/31/2021,-0.410662824
2/7/2021,-0.522959184
2/14/2021,-0.417539267
2/21/2021,-0.355590062
2/28/2021,-0.388683887
3/7/2021,-0.252021563
3/14/2021,-0.34655776
3/21/2021,-0.302005013
3/28/2021,-0.364377183
4/4/2021,-0.381118881
4/11/2021,-0.447225245
4/18/2021,-0.445664105
4/25/2021,-0.408883827
5/2/2021,-0.289408867
5/9/2021,-0.419181034
5/16/2021,-0.312354312
5/23/2021,-0.353080569
5/30/2021,-0.392812887
6/6/2021,-0.463812436
6/13/2021,-0.349827388
6/20/2021,-0.3507109
6/27/2021,-0.420441347
7/4/2021,-0.462046205
7/11/2021,-0.499511241
7/18/2021,-0.383795309
7/25/2021,-0.48272458
8/1/2021,-0.411167513
8/8/2021,-0.409090909
8/15/2021,-0.394514768
8/22/2021,-0.341151386
8/29/2021,-0.351129363
9/5/2021,-0.398255814
9/12/2021,-0.352390852
9/19/2021,-0.430542778
9/26/2021,-0.449626866
10/3/2021,-0.387692308
10/10/2021,-0.322052402
10/17/2021,-0.171396141
10/24/2021,-0.200236967
10/31/2021,-0.239548023
11/7/2021,-0.258639911
11/14/2021,-0.299185099
11/21/2021,-0.214460784
11/28/2021,-0.234932349
12/5/2021,-0.207100592
12/12/2021,-0.323687031
12/19/2021,-0.215581644
12/26/2021,-0.143968872
