Week Ending,Percent Change
1/5/2020,0.086413586
1/12/2020,0.302710843
1/19/2020,0.369085174
1/26/2020,0.397832817
2/2/2020,0.537720706
2/9/2020,0.19665272
2/16/2020,0.412403101
2/23/2020,0.402173913
3/1/2020,0.27176781
3/8/2020,0.230569948
3/15/2020,0.011933174
3/22/2020,-0.410755149
3/29/2020,-0.582320442
4/5/2020,-0.654166667
4/12/2020,-0.63209607
4/19/2020,-0.518644068
4/26/2020,-0.585760518
5/3/2020,-0.566666667
5/10/2020,-0.575539568
5/17/2020,-0.574152542
5/24/2020,-0.511952191
5/31/2020,-0.492113565
6/7/2020,-0.521779425
6/14/2020,-0.335117773
6/21/2020,-0.401775805
6/28/2020,-0.287654321
7/5/2020,-0.382048331
7/12/2020,-0.340757238
7/19/2020,-0.307228916
7/26/2020,-0.302793296
8/2/2020,-0.364548495
8/9/2020,-0.357588358
8/16/2020,-0.409090909
8/23/2020,-0.406189555
8/30/2020,-0.384236453
9/6/2020,-0.424855491
9/13/2020,-0.461751152
9/20/2020,-0.467984934
9/27/2020,-0.497180451
10/4/2020,-0.444664032
10/11/2020,-0.411340206
10/18/2020,-0.425904317
10/25/2020,-0.330120482
11/1/2020,-0.426729191
11/8/2020,-0.386621315
11/15/2020,-0.452784504
11/22/2020,-0.436795995
11/29/2020,-0.52154195
12/6/2020,-0.538745387
12/13/2020,-0.550724638
12/20/2020,-0.581196581
12/27/2020,-0.497429306
1/3/2021,-0.399100899
1/10/2021,-0.381024096
1/17/2021,-0.400630915
1/24/2021,-0.425696594
1/31/2021,-0.404494382
2/7/2021,-0.535564854
2/14/2021,-0.36744186
2/21/2021,-0.289855072
2/28/2021,-0.44591029
3/7/2021,-0.430051813
3/14/2021,-0.449880668
3/21/2021,-0.480549199
3/28/2021,-0.516022099
4/4/2021,-0.446875
4/11/2021,-0.454148472
4/18/2021,-0.497175141
4/25/2021,-0.502696872
5/2/2021,-0.548958333
5/9/2021,-0.525179856
5/16/2021,-0.454449153
5/23/2021,-0.49501992
5/30/2021,-0.379600421
6/6/2021,-0.395736793
6/13/2021,-0.307280514
6/20/2021,-0.324084351
6/27/2021,-0.32345679
7/4/2021,-0.440736479
7/11/2021,-0.44766147
7/18/2021,-0.344578313
7/25/2021,-0.362011173
8/1/2021,-0.299888517
8/8/2021,-0.381496881
8/15/2021,-0.384199134
8/22/2021,-0.447775629
8/29/2021,-0.386206897
9/5/2021,-0.403660886
9/12/2021,-0.439631336
9/19/2021,-0.314500942
9/26/2021,-0.388157895
10/3/2021,-0.350790514
10/10/2021,-0.373195876
10/17/2021,-0.249708285
10/24/2021,-0.177108434
10/31/2021,-0.198124267
11/7/2021,-0.241496599
11/14/2021,-0.292978208
11/21/2021,-0.146433041
11/28/2021,-0.351473923
12/5/2021,-0.207872079
12/12/2021,-0.221850613
12/19/2021,-0.223290598
12/26/2021,-0.154241645
