Week Ending,Percent Change
1/5/2020,-0.058201058
1/12/2020,0.091522564
1/19/2020,-0.043494705
1/26/2020,-0.009954058
2/2/2020,0.092351505
2/9/2020,-0.050828729
2/16/2020,-0.060980172
2/23/2020,0.04526749
3/1/2020,0.022788722
3/8/2020,0.003525264
3/15/2020,-0.158436945
3/22/2020,-0.482047364
3/29/2020,-0.571691176
4/5/2020,-0.602097902
4/12/2020,-0.596336996
4/19/2020,-0.555788591
4/26/2020,-0.621129326
5/3/2020,-0.600359712
5/10/2020,-0.572699149
5/17/2020,-0.591836735
5/24/2020,-0.584598698
5/31/2020,-0.534966416
6/7/2020,-0.527710003
6/14/2020,-0.494167963
6/21/2020,-0.482945736
6/28/2020,-0.493554328
7/5/2020,-0.381429222
7/12/2020,-0.48182152
7/19/2020,-0.47267356
7/26/2020,-0.435897436
8/2/2020,-0.412659123
8/9/2020,-0.337119824
8/16/2020,-0.344749718
8/23/2020,-0.34026174
8/30/2020,-0.368065434
9/6/2020,-0.342644979
9/13/2020,-0.415975104
9/20/2020,-0.400471539
9/27/2020,-0.370588235
10/4/2020,-0.378359264
10/11/2020,-0.329017517
10/18/2020,-0.360487248
10/25/2020,-0.27699719
11/1/2020,-0.37818854
11/8/2020,-0.411456383
11/15/2020,-0.407154341
11/22/2020,-0.37254902
11/29/2020,-0.429934706
12/6/2020,-0.440736479
12/13/2020,-0.513132851
12/20/2020,-0.535429936
12/27/2020,-0.470173536
1/3/2021,-0.555555556
1/10/2021,-0.526360186
1/17/2021,-0.57677761
1/24/2021,-0.558575804
1/31/2021,-0.541903987
2/7/2021,-0.64014733
2/14/2021,-0.540965208
2/21/2021,-0.472336534
2/28/2021,-0.468906914
3/7/2021,-0.432040736
3/14/2021,-0.470692718
3/21/2021,-0.4763178
3/28/2021,-0.533823529
4/4/2021,-0.577272727
4/11/2021,-0.526739927
4/18/2021,-0.486157718
4/25/2021,-0.574863388
5/2/2021,-0.560071942
5/9/2021,-0.524748647
5/16/2021,-0.500927644
5/23/2021,-0.543383948
5/30/2021,-0.462267878
6/6/2021,-0.524921575
6/13/2021,-0.481337481
6/20/2021,-0.470155039
6/27/2021,-0.473296501
7/4/2021,-0.378698225
7/11/2021,-0.506426735
7/18/2021,-0.446454948
7/25/2021,-0.485734922
8/1/2021,-0.505657709
8/8/2021,-0.44375229
8/15/2021,-0.442604441
8/22/2021,-0.442648191
8/29/2021,-0.391180654
9/5/2021,-0.381895332
9/12/2021,-0.434993084
9/19/2021,-0.452340856
9/26/2021,-0.41349481
10/3/2021,-0.432461103
10/10/2021,-0.413175933
10/17/2021,-0.389036924
10/24/2021,-0.316740265
10/31/2021,-0.38077634
11/7/2021,-0.334706103
11/14/2021,-0.288987138
11/21/2021,-0.258986928
11/28/2021,-0.282270216
12/5/2021,-0.353279632
12/12/2021,-0.395888847
12/19/2021,-0.313694268
12/26/2021,-0.39154013
