latitude,longitude,business_name,street_address,zip,NAICS_2017_6digit_code,NAICS_2017_6digit_desc,NAICS_2017_2digit_code,NAICS_2017_2digit_desc,estimated_employment,employment_buckets,mainstreet,geometry,district,index_right,DISTRICT
42.349398,-71.154065,zisis convenience store,375 Washington St,2135,452319,All Other General Merchandise Stores,45,Retail Trade,1.0,1 to 9,Brighton,POINT (-71.154065 42.349398),,7,9
42.350387,-71.165135,ziggy's,583 Washington St,2135,0,,99,Undefined,0.0,Not Available,Brighton,POINT (-71.165135 42.350387),,7,9
42.349219,-71.151769,zen zone acupuncture & spa,319 Washington St,2135,621399,Offices of All Other Miscellaneous Health Practitioners,62,Healthcare and Social Assistance,2.0,1 to 9,Brighton,POINT (-71.151769 42.349219),,7,9
42.349465,-71.153117,yes nails & spa inc,416 Market St,2135,812113,Nail Salons,81,Other Services,3.0,1 to 9,Brighton,POINT (-71.153117 42.349465),,7,9
42.349453,-71.151543,xfinity,12 Wirt St,2135,515210,Cable and Other Subscription Programming,51,Information,13.0,10 to 24,Brighton,POINT (-71.151543 42.349453),,7,9
42.350165,-71.164769,woof local,567 Washington St,2135,812910,Pet Care (except Veterinary) Services,81,Other Services,11.0,10 to 24,Brighton,POINT (-71.164769 42.350165),,7,9
42.349214,-71.162873,wok n talk,525 Washington St,2135,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Brighton,POINT (-71.162873 42.349214),,7,9
42.349978,-71.164422,wings express of brighton,563 Washington St,2135,722511,Full-Service Restaurants,72,Accommodation and Food Services,3.0,1 to 9,Brighton,POINT (-71.164422 42.349978),,7,9
42.349902,-71.150153,"william j moran md, pc",17 Henshaw St,2135,621111,Offices of Physicians (except Mental Health Specialists),62,Healthcare and Social Assistance,0.0,Not Available,Brighton,POINT (-71.150153 42.349902),,7,9
42.3489,-71.148244,"we care boston md, pllc",736 Cambridge St,2135,621111,Offices of Physicians (except Mental Health Specialists),62,Healthcare and Social Assistance,6.0,1 to 9,Brighton,POINT (-71.148244 42.3489),,7,9
42.349198,-71.151567,walsh wine & spirits,313 Washington St,2135,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,2.0,1 to 9,Brighton,POINT (-71.151567 42.349198),,7,9
42.34892,-71.154565,walsh wine & spirit,388 Washington St,2135,445310,"Beer, Wine, and Liquor Stores",44,Retail Trade,0.0,Not Available,Brighton,POINT (-71.154565 42.34892),,7,9
42.348919,-71.153648,wah foong electronics,364 Washington St,2135,811211,Consumer Electronics Repair and Maintenance,81,Other Services,2.0,1 to 9,Brighton,POINT (-71.153648 42.348919),,7,9
42.348919,-71.153648,vivi bubble tea,364 Washington St,2135,445299,All Other Specialty Food Stores,44,Retail Trade,5.0,1 to 9,Brighton,POINT (-71.153648 42.348919),,7,9
42.348246,-71.153462,"veronica b smith multi-service senior center, inc",20 Chestnut Hill Ave,2135,0,,99,Undefined,4.0,1 to 9,Brighton,POINT (-71.153462 42.348246),,7,9
42.349263,-71.153153,verizon wireless,363 Washington St,2135,517312,Wireless Telecommunications Carriers (except Satellite),51,Information,9.0,1 to 9,Brighton,POINT (-71.153153 42.349263),,7,9
42.349306,-71.154395,venetian beauty shoppe,385 Washington St,2135,812112,Beauty Salons,81,Other Services,4.0,1 to 9,Brighton,POINT (-71.154395 42.349306),,7,9
42.349228,-71.158508,v p development,461 Washington St,2135,236115,New Single-Family Housing Construction (except For-Sale Builders),23,Construction,5.0,1 to 9,Brighton,POINT (-71.158508 42.349228),,7,9
42.349091,-71.156278,usps,424 Washington St,2135,491110,Postal Service,49,Transportation and Warehosuing,65.0,50 to 99,Brighton,POINT (-71.156278 42.349091),,7,9
42.348894,-71.151707,"unbound visual arts, inc",320 Washington St,2135,712110,Museums,71,"Arts, Entertainment, and Recreation",3.0,1 to 9,Brighton,POINT (-71.151707 42.348894),,7,9
42.349978,-71.164422,twelve hours,559 Washington St,2135,722511,Full-Service Restaurants,72,Accommodation and Food Services,8.0,1 to 9,Brighton,POINT (-71.164422 42.349978),,7,9
42.34891,-71.15291,transatlantic,344 Washington St,2135,237210,Land Subdivision,23,Construction,4.0,1 to 9,Brighton,POINT (-71.15291 42.34891),,7,9
42.349219,-71.151769,threemain llc,319 Washington St,2135,423210,Furniture Merchant Wholesalers,42,Wholesale Trade,0.0,Not Available,Brighton,POINT (-71.151769 42.349219),,7,9
42.34921,-71.152414,thos upholstery,341 Washington St,2135,811420,Reupholstery and Furniture Repair,81,Other Services,2.0,1 to 9,Brighton,POINT (-71.152414 42.34921),,7,9
42.348813,-71.152177,the puritan,328 Washington St,2135,0,,99,Undefined,0.0,Not Available,Brighton,POINT (-71.152177 42.348813),,7,9
42.349817,-71.149896,the premier tutors,15 Henshaw St,2135,0,,99,Undefined,0.0,Not Available,Brighton,POINT (-71.149896 42.349817),,7,9
42.350071,-71.165367,the 34 barbershop,580 Washington St,2135,812111,Barber Shops,81,Other Services,2.0,1 to 9,Brighton,POINT (-71.165367 42.350071),,7,9
